 EURUSD,2020,1,1,0,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,1,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,2,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,3,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,4,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,5,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,6,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,7,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,8,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,9,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,10,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,11,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,12,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,13,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,14,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,15,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,16,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,17,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,18,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,19,0,1.12076,1.12076,1.12076,1.12076,0,TRADESIM,H1,
EURUSD,2020,1,1,20,0,1.12143,1.12218,1.12142,1.12188,1401.66,TRADESIM,H1,
EURUSD,2020,1,1,21,0,1.12188,1.12190,1.12157,1.12183,1789.91,TRADESIM,H1,
EURUSD,2020,1,1,22,0,1.12182,1.12244,1.12180,1.12209,3132.76,TRADESIM,H1,
EURUSD,2020,1,1,23,0,1.12210,1.12245,1.12184,1.12222,2118.97,TRADESIM,H1,
EURUSD,2020,1,2,0,0,1.12224,1.12231,1.12124,1.12132,2550.6499,TRADESIM,H1,
EURUSD,2020,1,2,1,0,1.12132,1.12143,1.12008,1.12012,2658.7,TRADESIM,H1,
EURUSD,2020,1,2,2,0,1.12011,1.12044,1.12009,1.12043,3424.3999,TRADESIM,H1,
EURUSD,2020,1,2,3,0,1.12044,1.12077,1.12036,1.12077,3330.3601,TRADESIM,H1,
EURUSD,2020,1,2,4,0,1.12078,1.12102,1.12043,1.12098,6752.8501,TRADESIM,H1,
EURUSD,2020,1,2,5,0,1.12099,1.12137,1.12051,1.12120,7196.8901,TRADESIM,H1,
EURUSD,2020,1,2,6,0,1.12119,1.12141,1.12011,1.12030,6928.9902,TRADESIM,H1,
EURUSD,2020,1,2,7,0,1.12030,1.12039,1.11927,1.11982,7231.79,TRADESIM,H1,
EURUSD,2020,1,2,8,0,1.11984,1.12021,1.11842,1.11848,8868.1396,TRADESIM,H1,
EURUSD,2020,1,2,9,0,1.11847,1.11943,1.11829,1.11930,7013.3198,TRADESIM,H1,
EURUSD,2020,1,2,10,0,1.11929,1.11970,1.11896,1.11963,188198.875,TRADESIM,H1,
EURUSD,2020,1,2,11,0,1.11963,1.11965,1.11700,1.11741,121648.9609,TRADESIM,H1,
EURUSD,2020,1,2,12,0,1.11739,1.12023,1.11708,1.12005,42482.7383,TRADESIM,H1,
EURUSD,2020,1,2,13,0,1.12006,1.12030,1.11651,1.11661,44095.5898,TRADESIM,H1,
EURUSD,2020,1,2,14,0,1.11661,1.11719,1.11635,1.11698,8147.6401,TRADESIM,H1,
EURUSD,2020,1,2,15,0,1.11698,1.11723,1.11636,1.11702,6858.7002,TRADESIM,H1,
EURUSD,2020,1,2,16,0,1.11702,1.11703,1.11642,1.11663,5628.54,TRADESIM,H1,
EURUSD,2020,1,2,17,0,1.11662,1.11715,1.11659,1.11693,3691.01,TRADESIM,H1,
EURUSD,2020,1,2,18,0,1.11692,1.11735,1.11689,1.11722,1517.578,TRADESIM,H1,
EURUSD,2020,1,2,19,0,1.11722,1.11730,1.11687,1.11713,837.7,TRADESIM,H1,
EURUSD,2020,1,2,20,0,1.11712,1.11734,1.11701,1.11708,1114.0601,TRADESIM,H1,
EURUSD,2020,1,2,21,0,1.11707,1.11760,1.11698,1.11754,1770.63,TRADESIM,H1,
EURUSD,2020,1,2,22,0,1.11753,1.11784,1.11722,1.11735,3335.47,TRADESIM,H1,
EURUSD,2020,1,2,23,0,1.11735,1.11774,1.11718,1.11725,6198.96,TRADESIM,H1,
EURUSD,2020,1,3,0,0,1.11725,1.11736,1.11695,1.11720,3515.53,TRADESIM,H1,
EURUSD,2020,1,3,1,0,1.11720,1.11749,1.11685,1.11700,2752.53,TRADESIM,H1,
EURUSD,2020,1,3,2,0,1.11700,1.11706,1.11643,1.11663,4027.49,TRADESIM,H1,
EURUSD,2020,1,3,3,0,1.11663,1.11695,1.11638,1.11691,2995.73,TRADESIM,H1,
EURUSD,2020,1,3,4,0,1.11691,1.11715,1.11521,1.11532,9234.2197,TRADESIM,H1,
EURUSD,2020,1,3,5,0,1.11531,1.11604,1.11505,1.11512,12276.4805,TRADESIM,H1,
EURUSD,2020,1,3,6,0,1.11512,1.11522,1.11400,1.11401,11537.6104,TRADESIM,H1,
EURUSD,2020,1,3,7,0,1.11400,1.11433,1.11307,1.11360,10708.9404,TRADESIM,H1,
EURUSD,2020,1,3,8,0,1.11361,1.11361,1.11249,1.11300,9108.3896,TRADESIM,H1,
EURUSD,2020,1,3,9,0,1.11300,1.11426,1.11281,1.11391,8111.21,TRADESIM,H1,
EURUSD,2020,1,3,10,0,1.11392,1.11488,1.11373,1.11381,10360.5303,TRADESIM,H1,
EURUSD,2020,1,3,11,0,1.11380,1.11541,1.11353,1.11522,11179.8799,TRADESIM,H1,
EURUSD,2020,1,3,12,0,1.11525,1.11674,1.11525,1.11633,13278.6201,TRADESIM,H1,
EURUSD,2020,1,3,13,0,1.11634,1.11798,1.11624,1.11719,34948.2617,TRADESIM,H1,
EURUSD,2020,1,3,14,0,1.11720,1.11740,1.11679,1.11721,5319.9702,TRADESIM,H1,
EURUSD,2020,1,3,15,0,1.11721,1.11732,1.11659,1.11666,5769.2202,TRADESIM,H1,
EURUSD,2020,1,3,16,0,1.11665,1.11681,1.11612,1.11673,6346.9199,TRADESIM,H1,
EURUSD,2020,1,3,17,0,1.11673,1.11674,1.11600,1.11616,3136.625,TRADESIM,H1,
EURUSD,2020,1,3,18,0,1.11614,1.11620,1.11523,1.11548,1493.575,TRADESIM,H1,
EURUSD,2020,1,3,19,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,3,20,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,3,21,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,3,22,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,3,23,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,0,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,1,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,2,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,3,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,4,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,5,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,6,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,7,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,8,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,9,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,10,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,11,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,12,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,13,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,14,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,15,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,16,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,17,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,18,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,19,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,20,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,21,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,22,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,4,23,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,0,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,1,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,2,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,3,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,4,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,5,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,6,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,7,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,8,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,9,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,10,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,11,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,12,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,13,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,14,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
EURUSD,2020,1,5,15,0,1.11548,1.11548,1.11548,1.11548,0,TRADESIM,H1,
